,sum,Price
2016-05-07,-0.4175618953171365,49845.0
2016-05-08,-0.4048529315129425,44494.0
2016-05-09,-0.3038410185398318,49347.0
2016-05-10,-0.3195817806931227,49830.0
2016-05-11,-0.3422475198775531,49292.0
2016-05-12,-0.3708767068405704,47623.0
2016-05-13,-0.30812242386814576,49449.0
2016-05-14,-0.2856496519944635,48910.0
2016-05-15,-0.3085284584831831,47772.0
2016-05-16,-0.3479041757981071,49160.0
2016-05-17,-0.3101655034836109,49110.0
2016-05-18,-0.3914839940856593,49317.0
2016-05-19,-0.4662962611222296,47965.0
2016-05-20,-0.39149921188854303,47767.0
2016-05-21,-0.3569458995753773,49057.0
2016-05-22,-0.3538687942335654,48047.0
2016-05-23,-0.3554525083205701,48016.0
2016-05-24,-0.40192476541419603,49227.0
2016-05-25,-0.3950543363911765,46296.0
2016-05-26,-0.3802237090664044,45964.0
2016-05-27,-0.4044451095347573,51970.0
2016-05-28,-0.32368296116133405,53765.0
2016-05-29,-0.3820900341268696,58258.0
2016-05-30,-0.3523408043697224,58528.0
2016-05-31,-0.4004696533310887,58110.0
2016-06-01,-0.3817733759364504,58216.0
2016-06-02,-0.3592832795317679,56772.0
2016-06-03,-0.3867818320874984,58548.0
2016-06-04,-0.3873666078266515,61303.0
2016-06-05,-0.3958143776184421,57676.0
2016-06-06,-0.41054486970498055,62134.0
2016-06-07,-0.4257911064752258,61130.0
2016-06-08,-0.4033356111631508,60678.0
2016-06-09,-0.3724765827549138,60553.0
2016-06-10,-0.3563822408338272,61991.0
2016-06-11,-0.3876755272024651,64984.0
2016-06-12,-0.4040717413670982,70052.0
2016-06-13,-0.3692082744245229,74594.0
2016-06-14,-0.3951872188535919,72693.0
2016-06-15,-0.3452242315001306,73274.0
2016-06-16,-0.2855348970507089,80723.0
2016-06-17,-0.3720706616742848,78685.0
2016-06-18,-0.40730112450743533,79019.0
2016-06-19,-0.4012581681588201,80095.0
2016-06-20,-0.42198236144163603,78986.0
2016-06-21,-0.3320757316949325,69220.0
2016-06-22,-0.4051390961476889,62411.0
2016-06-23,-0.4106084898440925,65776.0
2016-06-24,-0.34346615153911497,68559.0
2016-06-25,-0.40463023376162,68272.0
2016-06-26,-0.4051384277000119,68272.0
2016-06-27,-0.3270798760556551,66360.0
2016-06-28,-0.3172738019646247,66643.0
2016-06-29,-0.337898426378425,65214.0
2016-06-30,-0.3746505505770184,67141.0
2016-07-01,-0.4267116652349914,69174.0
2016-07-02,-0.4094687522798279,71378.0
2016-07-03,-0.4137786410496835,68321.0
2016-07-04,-0.41466014400172174,69840.0
2016-07-05,-0.3609001049938537,67339.0
2016-07-06,-0.33945409557360035,67788.0
2016-07-07,-0.4030491549655285,63645.0
2016-07-08,-0.3846897038328058,68062.0
2016-07-09,-0.35898869237534553,65127.0
2016-07-10,-0.3666864041495636,64375.0
2016-07-11,-0.4133443275105064,66176.0
2016-07-12,-0.3789977898946485,69049.0
2016-07-13,-0.3839782878061494,67183.0
2016-07-14,-0.3866175713980465,68954.0
2016-07-15,-0.4159550417905678,69309.0
2016-07-16,-0.4022138443266081,68778.0
2016-07-17,-0.3598706350037314,70322.0
2016-07-18,-0.3828398247201169,71746.0
2016-07-19,-0.30604122664365546,70771.0
2016-07-20,-0.3888118445199889,69688.0
2016-07-21,-0.35367699101009314,70099.0
2016-07-22,-0.4003496310195165,69007.0
2016-07-23,-0.3213651392513227,68996.0
2016-07-24,-0.3953916465581239,70478.0
2016-07-25,-0.36600564282661785,68016.0
2016-07-26,-0.327473967921128,65486.0
2016-07-27,-0.36484656020213596,68681.0
2016-07-29,-0.4111305847083895,67558.0
2016-07-30,-0.433588233369796,66686.0
