,sum,Price
2016-05-07,-0.38349096087642814,49845.0
2016-05-08,-0.3821489745083448,44494.0
2016-05-09,-0.3283771600332797,49347.0
2016-05-10,-0.293691540387761,49830.0
2016-05-11,-0.32635621030110235,49292.0
2016-05-12,-0.32109379960087714,47623.0
2016-05-13,-0.3394971434992604,49449.0
2016-05-14,-0.3180453909542719,48910.0
2016-05-15,-0.3597698222192557,47772.0
2016-05-16,-0.3418678997911224,49160.0
2016-05-17,-0.3416094555182133,49110.0
2016-05-18,-0.36914780977131056,49317.0
2016-05-19,-0.3935473711862707,47965.0
2016-05-20,-0.4065075985363757,47767.0
2016-05-21,-0.3608236312360032,49057.0
2016-05-22,-0.3649901007180398,48047.0
2016-05-23,-0.36048415637959097,48016.0
2016-05-24,-0.3619589206840486,49227.0
2016-05-25,-0.37392915879502064,46296.0
2016-05-26,-0.3841861030663384,45964.0
2016-05-27,-0.3728188296654321,51970.0
2016-05-28,-0.33724101016186525,53765.0
2016-05-29,-0.3654855675595773,58258.0
2016-05-30,-0.3726160426415312,58528.0
2016-05-31,-0.3640334151245321,58110.0
2016-06-01,-0.2688875040686259,58216.0
2016-06-02,-0.3810215746347521,56772.0
2016-06-03,-0.383086807578031,58548.0
2016-06-04,-0.3796320627406264,61303.0
2016-06-05,-0.3839574947975901,57676.0
2016-06-06,-0.3942122476312463,62134.0
2016-06-07,-0.3745910167175663,61130.0
2016-06-08,-0.3750084253338043,60678.0
2016-06-09,-0.3776233327508853,60553.0
2016-06-10,-0.3714362050387824,61991.0
2016-06-11,-0.3982230577851472,64984.0
2016-06-12,-0.37067117675553096,70052.0
2016-06-13,-0.3695002844735457,74594.0
2016-06-14,-0.3818875556082262,72693.0
2016-06-15,-0.3694990387407584,73274.0
2016-06-16,-0.3460248636964861,80723.0
2016-06-17,-0.3709051875550638,78685.0
2016-06-18,-0.36529429409361264,79019.0
2016-06-19,-0.3836695829514061,80095.0
2016-06-20,-0.3973769575143925,78986.0
2016-06-21,-0.3612730966910755,69220.0
2016-06-22,-0.38860101885165416,62411.0
2016-06-23,-0.4007262584532539,65776.0
2016-06-24,-0.37183268144504095,68559.0
2016-06-25,-0.37243481774982795,68272.0
2016-06-26,-0.3710003856208888,68272.0
2016-06-27,-0.377451633332822,66360.0
2016-06-28,-0.36488953744284297,66643.0
2016-06-29,-0.3587605574822117,65214.0
2016-06-30,-0.37143926101139946,67141.0
2016-07-01,-0.3905835583151801,69174.0
2016-07-02,-0.3703879713701777,71378.0
2016-07-03,-0.3842841307193517,68321.0
2016-07-04,-0.3561420790278453,69840.0
2016-07-05,-0.38409552254859,67339.0
2016-07-06,-0.3714361813053372,67788.0
2016-07-07,-0.3944150998141625,63645.0
2016-07-08,-0.3776679892487528,68062.0
2016-07-09,-0.35580674469071993,65127.0
2016-07-10,-0.3800544139127777,64375.0
2016-07-11,-0.3720147356640375,66176.0
2016-07-12,-0.3779404884008282,69049.0
2016-07-13,-0.3817450520894632,67183.0
2016-07-14,-0.3854196925653299,68954.0
2016-07-15,-0.3823363525434753,69309.0
2016-07-16,-0.3852587245916413,68778.0
2016-07-17,-0.379039498084632,70322.0
2016-07-18,-0.3790711055115884,71746.0
2016-07-19,-0.3636484929189235,70771.0
2016-07-20,-0.3733039433468589,69688.0
2016-07-21,-0.3721653713440276,70099.0
2016-07-22,-0.3786768060658043,69007.0
2016-07-23,-0.37925261169336016,68996.0
2016-07-24,-0.3727375523160359,70478.0
2016-07-25,-0.3807580776911975,68016.0
2016-07-26,-0.3708402893045602,65486.0
2016-07-27,-0.3704045785365437,68681.0
2016-07-28,-0.3706640406594917,68119.5
2016-07-29,-0.3777145973921399,67558.0
2016-07-30,-0.3761527077252867,66686.0
2016-07-31,-0.3609123111933535,63947.0
2016-08-01,-0.3756027256736482,61963.0
2016-08-02,-0.38609320275583786,55731.0
2016-08-03,-0.3882441535981024,55527.0
2016-08-04,-0.3910753774175744,58002.0
2016-08-05,-0.367296796302824,55979.0
2016-08-06,-0.3650670974739741,56609.0
2016-08-07,-0.3849784477584081,59229.0
2016-08-08,-0.371126452515841,59452.0
2016-08-09,-0.3737702921641589,59400.454545454544
2016-08-10,-0.34808425789267744,59348.90909090909
2016-08-11,-0.3732983993989529,59297.36363636364
2016-08-12,-0.3798149298598934,59245.818181818184
2016-08-13,-0.3646597272102735,59194.27272727273
2016-08-14,-0.3570404533480245,59142.72727272727
2016-08-15,-0.3847934793201572,59091.181818181816
2016-08-16,-0.3430394756250658,59039.63636363636
2016-08-17,-0.3652594603825813,58988.09090909091
2016-08-18,-0.3447574927216108,58936.545454545456
2016-08-19,-0.3663522625773664,58885.0
2016-08-20,-0.357397500442017,58833.454545454544
2016-08-21,-0.3753353682010678,58781.90909090909
2016-08-22,-0.35353952590807125,58730.36363636364
2016-08-23,-0.3607611726628099,58678.818181818184
2016-08-24,-0.3670923220987897,58627.27272727273
2016-08-25,-0.3734230405623786,58575.72727272727
2016-08-26,-0.36047147308620986,58524.181818181816
2016-08-27,-0.36350260654561467,58472.63636363636
2016-08-28,-0.3861331282946148,58421.09090909091
2016-08-29,-0.35313739534532845,58369.545454545456
2016-08-30,-0.36313059753337934,58318.0
2016-08-31,-0.35322668275917457,57494.0
2016-09-01,-0.2444773047583435,57695.0
2016-09-02,-0.3733085401377189,59584.0
2016-09-03,-0.3764090616037567,61472.0
2016-09-04,-0.3643680591915256,61354.0
2016-09-05,-0.3851394144743345,61213.0
2016-09-06,-0.3515316945808738,59406.0
2016-09-07,-0.3565451837640988,62213.0
2016-09-08,-0.3886654454756486,63862.0
2016-09-09,-0.3815980631683065,62794.0
2016-09-10,-0.3519250460604319,62087.0
2016-09-11,-0.35593457754489033,60276.0
2016-09-12,-0.3726734346584134,62091.0
2016-09-13,-0.36353945032019386,61074.0
2016-09-14,-0.3644446463811427,62867.0
2016-09-15,-0.3629161991321583,61575.0
2016-09-16,-0.3390128365317269,61373.0
2016-09-17,-0.35113235427949874,62119.0
2016-09-18,-0.3613892329853439,60500.0
2016-09-19,-0.37045275685357504,61480.0
2016-09-20,-0.3778163241566143,59834.0
2016-09-21,-0.3787575082348131,58518.0
2016-09-22,-0.385353450537284,58661.0
2016-09-23,-0.38490689305635867,59037.0
2016-09-24,-0.3914787417002379,60055.0
2016-09-25,-0.3927875504395438,59146.0
2016-09-26,-0.38932817571091305,60032.0
2016-09-27,-0.3816868223998201,60363.0
2016-09-28,-0.3722178498123249,60487.0
2016-09-29,-0.3903972747490366,61253.0
2016-09-30,-0.3777879204566416,59446.0
2016-10-01,-0.3777004636786096,61793.0
2016-10-02,-0.3636692231394224,59504.0
2016-10-03,-0.3932248704716426,61022.0
2016-10-04,-0.3757202613830089,57448.0
2016-10-05,-0.38812538627849225,61091.0
2016-10-06,-0.3809702613859716,57732.0
2016-10-07,-0.36847361483518104,62467.0
2016-10-08,-0.38779266888543373,60715.0
2016-10-09,-0.38044547270398266,59880.0
2016-10-10,-0.37721535378449456,60373.0
2016-10-11,-0.3755559969598799,62881.0
2016-10-12,-0.3788779490305655,64827.0
2016-10-13,-0.3686304385691797,64110.0
2016-10-14,-0.3829932412814828,65591.0
2016-10-15,-0.3852798696634216,65711.0
2016-10-16,-0.3937733968871353,66281.0
2016-10-17,-0.3640085397446196,65641.0
2016-10-18,-0.3595694725513286,65962.0
2016-10-19,-0.3614697155295959,64817.0
2016-10-20,-0.3841166415980841,63890.0
2016-10-21,-0.3904857932638669,65351.0
2016-10-22,-0.3641320473430311,66033.0
2016-10-23,-0.3760923159743756,67504.0
2016-10-24,-0.383415660602649,66643.0
2016-10-25,-0.3754575424609471,67668.0
2016-10-26,-0.38821149933375215,69829.0
2016-10-27,-0.35955123475550266,71439.0
2016-10-28,-0.3925155347097307,70904.0
2016-10-29,-0.3902574950764219,74966.0
2016-10-30,-0.3789837781719801,75624.0
2016-10-31,-0.3804304128344768,72099.0
2016-11-01,-0.36210109884399705,70473.0
2016-11-02,-0.37758148360210464,76089.0
2016-11-03,-0.3749457636919405,76000.0
2016-11-04,-0.3874547755220312,72427.0
2016-11-05,-0.3848382718904175,72379.0
2016-11-06,-0.38302481605167377,73235.0
2016-11-07,-0.379864274293665,72665.0
2016-11-08,-0.3739457591688527,74778.0
2016-11-09,-0.3708458214778031,74983.0
2016-11-10,-0.3813588293876134,75416.0
2016-11-11,-0.3680016101143863,75844.0
2016-11-12,-0.3826009682650927,76024.0
2016-11-13,-0.3779936367325275,75261.0
2016-11-14,-0.3600447822496861,75497.0
2016-11-15,-0.3779900622677495,77887.0
2016-11-16,-0.3730236030692027,78894.0
2016-11-17,-0.3742175862404771,80039.0
2016-11-18,-0.35571456322544176,82791.0
2016-11-19,-0.3673942125311769,82878.0
2016-11-20,-0.3647633910990799,79437.0
2016-11-21,-0.3824665595190524,81192.0
2016-11-22,-0.38246673905191547,82584.0
2016-11-23,-0.3733212466319038,81664.0
2016-11-24,-0.3730805863104207,82960.0
