,day,sum
0,2016-03-01,-0.30551096653423826
1,2016-02-29,-0.3755592511678858
2,2016-02-28,-0.3912232906497405
3,2016-02-27,-0.37381603854685697
4,2016-02-26,-0.37735535217279553
5,2016-02-25,-0.38985981848482126
6,2016-02-24,-0.4260938617361589
7,2016-02-23,-0.3663084454146754
8,2016-02-22,-0.3982495343631287
9,2016-02-21,-0.3474167413836196
10,2016-02-20,-0.3243157213060329
11,2016-02-19,-0.3907321009697869
12,2016-02-18,-0.4024213700959871
13,2016-02-17,-0.38702573780094085
14,2016-02-16,-0.3796312015119539
15,2016-02-15,-0.3907417357310802
16,2016-02-14,-0.3838467967516168
17,2016-02-13,-0.37418091190354713
18,2016-02-12,-0.4088724182597563
19,2016-02-11,-0.3957312320894123
20,2016-02-10,-0.3752924390869731
21,2016-02-09,-0.39730147580551584
22,2016-02-08,-0.38297296762623956
23,2016-02-07,-0.40000133535696536
24,2016-02-06,-0.39022895882897746
25,2016-02-05,-0.40816273538988923
26,2016-02-04,-0.3757749917991745
27,2016-02-03,-0.38321381716369035
28,2016-02-02,-0.404333946488061
29,2016-02-01,-0.4083210775388033
30,2016-01-31,-0.34287272070151353
31,2016-01-30,-0.3872297236184837
32,2016-01-29,-0.3840108111552584
33,2016-01-28,-0.33703294614058293
34,2016-01-27,-0.38742978244087306
35,2016-01-26,-0.36784400035692966
36,2016-01-25,-0.2257315051162383
37,2016-01-24,-0.38927806866933373
38,2016-01-23,-0.3496239611999923
39,2016-01-22,-0.39044911781926506
40,2016-01-21,-0.3854058565560351
41,2016-01-20,-0.3690432973411239
42,2016-01-19,-0.3985112728669925
43,2016-01-18,-0.3592287890591353
44,2016-01-17,-0.3496348468051591
45,2016-01-16,-0.39423219417152705
46,2016-01-15,-0.3368042959976605
47,2016-01-14,-0.38314304825948636
48,2016-01-13,-0.38238045379822677
49,2016-01-12,-0.3801055329305446
50,2016-01-11,-0.3742110500649054
51,2016-01-10,-0.3668913431955185
52,2016-01-09,-0.3905955741499338
53,2016-01-08,-0.38848148559793566
54,2016-01-07,-0.3661262724717979
55,2016-01-06,-0.4025138870847352
56,2016-01-05,-0.3689303738990272
57,2016-01-04,-0.38842693249807386
58,2016-01-03,-0.37812269044249
59,2016-01-02,-0.3944302158420312
60,2016-01-01,-0.40279392847920337
61,2016-06-01,-0.2688875040686259
62,2016-05-31,-0.36403341512453213
63,2016-05-30,-0.37261604264153114
64,2016-05-29,-0.3654855675595773
65,2016-05-28,-0.33724101016186525
66,2016-05-27,-0.37281882966543206
67,2016-05-26,-0.3841861030663384
68,2016-05-25,-0.37392915879502064
69,2016-05-24,-0.3619589206840486
70,2016-05-23,-0.36048415637959097
71,2016-05-22,-0.3649901007180398
72,2016-05-21,-0.3608236312360032
73,2016-05-20,-0.40650759853637564
74,2016-05-19,-0.3935473711862707
75,2016-05-18,-0.36914780977131056
76,2016-05-17,-0.34160945551821326
77,2016-05-16,-0.3418678997911224
78,2016-05-15,-0.35976982221925574
79,2016-05-14,-0.3180453909542719
80,2016-05-13,-0.3394971434992604
81,2016-05-12,-0.32109379960087714
82,2016-05-11,-0.32635621030110235
83,2016-05-10,-0.293691540387761
84,2016-05-09,-0.32837716003327966
85,2016-05-08,-0.38214897450834484
86,2016-05-07,-0.38349096087642814
87,2016-05-06,-0.3626550213164604
88,2016-05-05,-0.41192046998301396
89,2016-05-04,-0.3726437545400793
90,2016-05-03,-0.3478315837622485
91,2016-05-02,-0.36790211438316256
92,2016-05-01,-0.37322491370225336
93,2016-04-30,-0.37934280191853414
94,2016-04-29,-0.40506048831152575
95,2016-04-28,-0.37097047669048067
96,2016-04-27,-0.37991598569732365
97,2016-04-26,-0.37327420492476393
98,2016-04-25,-0.3726809333778844
99,2016-04-24,-0.36754877033252475
100,2016-04-23,-0.37226537301009266
101,2016-04-22,-0.3359888199032963
102,2016-04-21,-0.3760757557889864
103,2016-04-20,-0.36938624604830317
104,2016-04-19,-0.3765680037181808
105,2016-04-18,-0.3697522392925734
106,2016-04-17,-0.37039326290988117
107,2016-04-16,-0.38192380422973476
108,2016-04-15,-0.36242940634743254
109,2016-04-14,-0.34594289835619535
110,2016-04-13,-0.3835300541929468
111,2016-04-12,-0.36356435350009575
112,2016-04-11,-0.36122445214485105
113,2016-04-10,-0.3686500583440183
114,2016-04-09,-0.39307352668680373
115,2016-04-08,-0.3581521081114345
116,2016-04-07,-0.37461369572179887
117,2016-04-06,-0.4047723293653929
118,2016-04-05,-0.3639405128783792
119,2016-04-04,-0.3906912751547828
120,2016-04-03,-0.34352171723691155
121,2016-04-02,-0.3780022411860463
122,2016-04-01,-0.34037455989764687
123,2016-03-31,-0.3611096152176208
124,2016-03-30,-0.38224864909323164
125,2016-03-29,-0.35563367246303657
126,2016-03-28,-0.38073365546317767
127,2016-03-27,-0.4041344838484839
128,2016-03-26,-0.39820927383970817
129,2016-03-25,-0.3912355082268577
130,2016-03-24,-0.39676323159204774
131,2016-03-23,-0.37777454612144834
132,2016-03-22,-0.35404507375607214
133,2016-03-21,-0.3642443230705044
134,2016-03-20,-0.39607924943238315
135,2016-03-19,-0.366318362053463
136,2016-03-18,-0.39758896364155616
137,2016-03-17,-0.3863335101594389
138,2016-03-16,-0.3819948309956342
139,2016-03-15,-0.3792080668222624
140,2016-03-14,-0.4014070233298899
141,2016-03-13,-0.3656617516067403
142,2016-03-12,-0.36908981915058137
143,2016-03-11,-0.40803152434861445
144,2016-03-10,-0.38602593834601595
145,2016-03-09,-0.3617048107565457
146,2016-03-08,-0.3814355587189062
